subid,age,sex,meanFD
sub-CCNPPEK0255,6.3,2,0.173906
sub-CCNPPEK0256,12.2,2,0.0945005
sub-CCNPPEK0259,7.5,1,0.1803605
sub-CCNPPEK0260,10.9,1,0.09782
sub-CCNPPEK0261,11.2,1,0.2577225
sub-CCNPPEK0262,8.1,2,0.1856245
sub-CCNPPEK0263,10.3,2,0.136462
sub-CCNPPEK0264,12.4,1,0.1343355
sub-CCNPPEK0266,9.9,1,0.1086465
sub-CCNPPEK0267,10.4,1,0.0912245
sub-CCNPPEK0270,11.4,1,0.1270915
sub-CCNPPEK0272,10.1,1,0.1753885
sub-CCNPPEK0273,9.8,2,0.070575
sub-CCNPPEK0274,7.8,1,0.1976965
sub-CCNPPEK0277,9.1,1,0.139162
